
id_cliente,nome,cidade
1,Cliente 1,Curitiba
2,Cliente 2,Belo Horizonte
3,Cliente 3,Belo Horizonte
4,Cliente 4,Rio de Janeiro
5,Cliente 5,Rio de Janeiro
6,Cliente 6,Curitiba
7,Cliente 7,Rio de Janeiro
8,Cliente 8,São paulo
9,Cliente 9,Rio de Janeiro
10,Cliente 10,Porto Alegre
11,Cliente 11,São paulo
12,Cliente 12,Porto Alegre
13,Cliente 13,Rio de Janeiro
14,Cliente 14,Porto Alegre
15,Cliente 15,São paulo
16,Cliente 16,Curitiba
17,Cliente 17,Rio de Janeiro
18,Cliente 18,Porto Alegre
19,Cliente 19,Curitiba
20,Cliente 20,São paulo
21,Cliente 21,Curitiba
22,Cliente 22,Rio de Janeiro
23,Cliente 23,São paulo
24,Cliente 24,Rio de Janeiro
25,Cliente 25,Belo Horizonte
26,Cliente 26,Porto Alegre
27,Cliente 27,Porto Alegre
28,Cliente 28,Rio de Janeiro
29,Cliente 29,Curitiba
30,Cliente 30,Rio de Janeiro
31,Cliente 31,Curitiba
32,Cliente 32,Rio de Janeiro
33,Cliente 33,Curitiba
34,Cliente 34,São paulo
35,Cliente 35,São paulo
36,Cliente 36,Rio de Janeiro
37,Cliente 37,Rio de Janeiro
38,Cliente 38,Curitiba
39,Cliente 39,Rio de Janeiro
40,Cliente 40,Curitiba
41,Cliente 41,São paulo
42,Cliente 42,São paulo
43,Cliente 43,São paulo
44,Cliente 44,Curitiba
45,Cliente 45,Belo Horizonte
46,Cliente 46,São paulo
47,Cliente 47,São paulo
48,Cliente 48,Curitiba
49,Cliente 49,Belo Horizonte
50,Cliente 50,Rio de Janeiro
